xm,ym,zm
0,300,157
5,303,160
10,305,164
15,306,166
20,309,169
25,311,172
30,314,175
35,316,179
40,318,181
45,318,184
50,320,188
55,323,191
60,324,194
65,341,277
70,474,588
75,537,662
80,578,687
85,605,690
90,625,691
95,642,694
100,651,693
105,654,692
110,658,691
115,662,693
120,660,692
125,660,693
130,659,693
135,662,695
140,663,696
145,664,696
150,665,699
155,664,698
160,665,699
165,666,700
170,666,698
175,668,700
180,665,698
185,665,697
190,667,699
195,663,696
200,664,699
205,664,695
210,666,698
215,666,699
220,670,702
225,668,701
230,668,701
235,666,699
240,666,699
245,669,701
250,668,700
255,669,701
260,668,700
265,666,697
270,670,702
275,668,699
280,669,700
285,666,697
290,668,699
295,670,701
300,670,702
305,669,701
310,668,698
315,669,700
320,670,701
325,672,703
330,671,702
335,671,701
340,669,700
345,667,698
350,668,698
355,666,697
360,670,700
365,670,701
370,670,702
375,671,701
380,672,702
385,669,699
390,668,698
395,668,698
400,672,703
405,672,701
410,671,700
415,669,699
420,670,700
425,671,700
430,656,690
435,632,669
440,597,637
445,567,605
450,536,567
455,509,527
460,476,479
465,447,427
470,420,376
475,398,329
480,378,285
485,362,246
490,347,212
495,330,182
500,320,160
505,310,143
510,302,128
515,292,118
520,285,109
525,282,100
530,276,95
535,273,91
540,267,86
545,264,84
550,261,82
555,259,81
560,255,78
565,254,78
570,253,79
575,251,79
580,249,76
585,245,73
590,245,74
595,245,73
600,244,74
