xm,ym,zm
150,925,892
155,926,891
160,924,891
165,921,890
170,921,888
175,920,888
180,921,889
185,920,891
190,917,888
195,920,889
200,917,887
205,918,888
210,919,889
215,920,891
220,921,892
225,921,893
230,920,891
235,921,893
240,920,891
245,919,890
250,919,893
255,918,891
260,919,892
265,918,891
270,919,892
275,919,892
280,916,889
285,914,889
290,913,889
295,914,889
300,919,894
305,919,893
310,920,894
315,919,893
320,915,890
325,912,887
330,911,888
335,911,887
340,912,888
345,913,888
350,915,890
355,917,893
360,916,893
365,913,890
370,909,885
375,911,888
380,914,891
385,917,893
390,915,893
395,914,890
400,914,890
