xm,ym,zm
150,859,836
155,861,838
160,860,837
165,858,836
170,860,838
175,860,836
180,860,838
185,861,840
190,864,842
195,861,840
200,862,841
205,864,842
210,861,841
215,863,842
220,862,842
225,859,839
230,858,839
235,859,839
240,859,839
245,855,836
250,857,839
255,854,836
260,857,838
265,853,835
270,854,835
275,854,835
280,854,837
285,854,836
290,857,840
295,857,838
300,856,839
305,856,839
310,858,842
315,856,839
320,858,842
325,857,839
330,858,842
335,856,840
340,857,841
345,854,838
350,855,840
355,857,841
360,858,841
365,857,842
370,856,839
375,854,838
380,854,837
385,854,838
390,852,839
395,852,836
400,850,835
