xm,ym,zm
0,360,260
5,365,264
10,367,268
15,369,273
20,371,277
25,373,280
30,377,286
35,380,289
40,382,293
45,384,296
50,385,300
55,387,303
60,389,306
65,408,426
70,663,773
75,779,832
80,836,852
85,870,862
90,891,870
95,900,872
100,907,874
105,912,876
110,916,877
115,918,878
120,916,879
125,918,879
130,919,881
135,918,880
140,919,881
145,921,884
150,921,886
155,919,883
160,917,882
165,917,883
170,918,882
175,914,880
180,915,881
185,913,879
190,916,882
195,914,881
200,912,879
205,910,878
210,914,881
215,912,882
220,911,878
225,909,878
230,911,881
235,908,878
240,909,878
245,910,880
250,912,881
255,914,883
260,913,883
265,908,879
270,909,880
275,915,884
280,909,880
285,906,878
290,910,881
295,913,884
300,911,882
305,910,880
310,907,878
315,907,878
320,909,881
325,910,882
330,909,882
335,907,880
340,904,877
345,907,879
350,909,881
355,908,881
360,908,880
365,909,883
370,909,883
375,910,883
380,909,880
385,907,878
390,902,876
395,901,874
400,902,877
405,905,877
410,904,878
415,907,881
420,906,880
425,909,881
430,921,885
435,915,884
440,908,881
445,898,877
450,888,874
455,874,868
460,853,859
465,826,845
470,795,832
475,765,818
480,732,806
485,690,785
490,646,761
495,606,736
500,565,705
505,528,668
510,497,634
515,471,597
520,448,559
525,427,518
530,409,478
535,393,440
540,379,406
545,370,375
550,362,349
555,353,325
560,345,305
565,338,286
570,332,272
575,328,259
580,323,249
585,321,240
590,318,232
595,314,225
600,311,218
