xm,ym,zm
0,257,32
5,260,33
10,261,34
15,264,34
20,266,36
25,268,36
30,271,37
35,274,38
40,275,39
45,278,39
50,277,40
55,281,42
60,283,42
65,284,43
70,301,92
75,340,190
80,376,247
85,428,308
90,474,373
95,512,432
100,542,475
105,572,517
110,597,541
115,614,553
120,629,567
125,635,575
130,641,582
135,643,587
140,644,589
145,646,593
150,645,591
155,644,593
160,643,592
165,644,593
170,643,594
175,643,593
180,646,596
185,644,595
190,644,596
195,646,598
200,646,598
205,648,601
210,648,601
215,650,603
220,650,603
225,647,602
230,648,601
235,645,599
240,645,599
245,644,598
250,645,600
255,644,599
260,645,602
265,648,603
270,648,605
275,648,604
280,647,602
285,647,603
290,647,604
295,647,602
300,642,599
305,644,600
310,644,600
315,644,602
320,648,604
325,648,604
330,648,605
335,646,604
340,644,602
345,648,604
350,645,602
355,641,599
360,642,601
365,644,602
370,645,603
375,645,603
380,644,602
385,646,604
390,643,603
395,641,599
400,642,601
405,643,601
410,643,601
415,644,602
420,646,605
425,663,622
430,661,621
435,644,605
440,619,575
445,592,539
450,562,495
455,534,446
460,506,390
465,476,328
470,447,266
475,420,208
480,397,159
485,375,121
490,357,94
495,343,75
500,330,62
505,320,52
510,312,45
515,301,40
520,296,38
525,290,35
530,284,34
535,280,31
540,276,31
545,270,30
550,268,29
555,266,30
560,261,28
565,257,28
570,258,26
575,256,26
580,254,26
585,252,26
590,251,26
595,248,25
600,247,25
