xm,ym,zm
150,924,888
155,927,890
160,926,888
165,927,890
170,923,887
175,919,884
180,918,884
185,920,886
190,921,885
195,919,885
200,920,887
205,921,888
210,921,888
215,923,890
220,920,888
225,922,889
230,920,888
235,919,886
240,918,887
245,915,883
250,917,885
255,921,889
260,919,887
265,919,887
270,921,891
275,919,888
280,918,888
285,914,883
290,916,885
295,914,884
300,916,889
305,918,889
310,917,887
315,916,886
320,915,887
325,915,885
330,915,885
335,914,885
340,914,885
345,915,887
350,916,888
355,915,887
360,915,889
365,915,886
370,914,885
375,912,885
380,910,883
385,911,884
390,911,883
395,909,882
400,911,883
