xm,ym,zm
150,932,896
155,931,893
160,927,890
165,926,891
170,928,892
175,932,896
180,933,897
185,929,894
190,930,894
195,926,891
200,924,890
205,929,896
210,929,896
215,929,896
220,925,894
225,922,891
230,924,894
235,928,896
240,925,894
245,926,896
250,927,896
255,925,894
260,922,892
265,924,895
270,927,897
275,926,897
280,924,895
285,922,893
290,921,894
295,923,896
300,924,895
305,926,898
310,924,896
315,925,897
320,923,896
325,917,890
330,918,891
335,921,894
340,919,894
345,923,897
350,924,898
355,921,895
360,923,897
365,919,894
370,915,890
375,918,893
380,919,895
385,918,894
390,919,893
395,916,893
400,917,893
