xm,ym,zm
150,866,807
155,867,808
160,865,809
165,872,814
170,868,811
175,867,811
180,866,810
185,863,809
190,864,808
195,862,808
200,866,812
205,867,814
210,866,814
215,867,813
220,864,811
225,864,811
230,863,811
235,861,809
240,859,807
245,860,810
250,857,806
255,862,811
260,863,813
265,864,814
270,866,815
275,864,814
280,862,813
285,864,815
290,866,816
295,861,812
300,859,810
305,858,809
310,857,809
315,859,811
320,860,811
325,856,809
330,858,809
335,858,810
340,861,813
345,861,814
350,863,815
355,862,814
360,862,814
365,861,815
370,862,814
375,863,815
380,861,815
385,861,815
390,862,815
395,857,810
400,857,811
