+1 1:500 2:429 3:552
+1 1:505 2:408 3:500
+1 1:510 2:392 3:452
+1 1:515 2:376 3:405
+1 1:520 2:362 3:362
+1 1:525 2:351 3:326
+1 1:530 2:343 3:293
+1 1:535 2:336 3:268
+1 1:540 2:329 3:246
+1 1:545 2:322 3:225
+1 1:550 2:319 3:211
+1 1:555 2:314 3:198
+1 1:560 2:312 3:188
+1 1:565 2:307 3:177
+1 1:570 2:305 3:170
+1 1:575 2:303 3:162
+1 1:580 2:300 3:156
+1 1:585 2:299 3:150
+1 1:590 2:296 3:145
+1 1:595 2:295 3:143
+1 1:600 2:294 3:139
+1 1:500 2:423 3:508
+1 1:505 2:408 3:468
+1 1:510 2:393 3:432
+1 1:515 2:383 3:400
+1 1:520 2:374 3:373
+1 1:525 2:367 3:352
+1 1:530 2:363 3:336
+1 1:535 2:356 3:320
+1 1:540 2:353 3:310
+1 1:545 2:353 3:304
+1 1:550 2:350 3:298
+1 1:555 2:350 3:294
+1 1:560 2:347 3:289
+1 1:565 2:349 3:288
+1 1:570 2:347 3:285
+1 1:575 2:345 3:284
+1 1:580 2:347 3:284
+1 1:585 2:347 3:286
+1 1:590 2:350 3:288
+1 1:595 2:352 3:288
+1 1:600 2:350 3:290
+1 1:500 2:614 3:735
+1 1:505 2:586 3:714
+1 1:510 2:557 3:686
+1 1:515 2:532 3:662
+1 1:520 2:510 3:635
+1 1:525 2:489 3:606
+1 1:530 2:469 3:577
+1 1:535 2:453 3:548
+1 1:540 2:435 3:516
+1 1:545 2:422 3:488
+1 1:550 2:408 3:459
+1 1:555 2:399 3:432
+1 1:560 2:387 3:405
+1 1:565 2:375 3:378
+1 1:570 2:366 3:353
+1 1:575 2:358 3:330
+1 1:580 2:349 3:308
+1 1:585 2:343 3:289
+1 1:590 2:335 3:271
+1 1:595 2:330 3:255
+1 1:600 2:326 3:242
+1 1:500 2:431 3:550
+1 1:505 2:411 3:501
+1 1:510 2:392 3:452
+1 1:515 2:379 3:410
+1 1:520 2:365 3:370
+1 1:525 2:353 3:333
+1 1:530 2:344 3:306
+1 1:535 2:336 3:283
+1 1:540 2:329 3:263
+1 1:545 2:326 3:247
+1 1:550 2:319 3:234
+1 1:555 2:316 3:223
+1 1:560 2:314 3:214
+1 1:565 2:309 3:207
+1 1:570 2:308 3:202
+1 1:575 2:303 3:197
+1 1:580 2:302 3:193
+1 1:585 2:301 3:189
