+375 2:311 3:81 4:168 5:384  
+1 1:0 2:310 3:82 4:168 5:383  
+1 1:5 2:311 3:82 4:171 5:383  
+1 1:10 2:314 3:82 4:174 5:383  
+1 1:15 2:317 3:80 4:180 5:382  
+1 1:20 2:320 3:82 4:183 5:381  
+1 1:25 2:322 3:82 4:187 5:382  
+1 1:30 2:324 3:83 4:191 5:383  
+1 1:35 2:328 3:87 4:195 5:383  
+1 1:40 2:331 3:82 4:200 5:383  
+1 1:45 2:334 3:85 4:203 5:383  
+1 1:50 2:337 3:86 4:207 5:382  
+1 1:55 2:338 3:84 4:211 5:382  
+1 1:60 2:341 3:82 4:214 5:382  
+1 1:65 2:345 3:85 4:233 5:382  
+1 1:70 2:561 3:80 4:710 5:383  
+1 1:75 2:725 3:81 4:810 5:382  
+1 1:80 2:815 3:83 4:847 5:382  
+1 1:85 2:861 3:81 4:861 5:383  
+1 1:90 2:887 3:81 4:869 5:383  
+1 1:95 2:905 3:81 4:877 5:382  
+1 1:100 2:915 3:84 4:882 5:382  
+1 1:105 2:920 3:82 4:884 5:382  
+1 1:110 2:923 3:82 4:885 5:383  
+1 1:115 2:924 3:82 4:886 5:383  
+1 1:120 2:926 3:85 4:888 5:382  
+1 1:125 2:925 3:84 4:888 5:383  
+1 1:130 2:926 3:81 4:889 5:382  
+1 1:135 2:923 3:82 4:888 5:383  
+1 1:140 2:923 3:82 4:888 5:382  
+1 1:145 2:926 3:83 4:891 5:382  
+1 1:150 2:925 3:86 4:892 5:383  
+1 1:155 2:926 3:85 4:891 5:382  
+1 1:160 2:924 3:83 4:891 5:383  
+1 1:165 2:921 3:80 4:890 5:383  
+1 1:170 2:921 3:81 4:888 5:382  
+1 1:175 2:920 3:85 4:888 5:383  
+1 1:180 2:921 3:87 4:889 5:382  
+1 1:185 2:920 3:87 4:891 5:382  
+1 1:190 2:917 3:87 4:888 5:382  
+1 1:195 2:920 3:87 4:889 5:381  
+1 1:200 2:917 3:89 4:887 5:381  
+1 1:205 2:918 3:87 4:888 5:383  
+1 1:210 2:919 3:90 4:889 5:382  
+1 1:215 2:920 3:86 4:891 5:383  
+1 1:220 2:921 3:90 4:892 5:384  
+1 1:225 2:921 3:86 4:893 5:384  
+1 1:230 2:920 3:83 4:891 5:383  
+1 1:235 2:921 3:85 4:893 5:383  
+1 1:240 2:920 3:89 4:891 5:383  
+1 1:245 2:919 3:88 4:890 5:384  
+1 1:250 2:919 3:88 4:893 5:383  
+1 1:255 2:918 3:90 4:891 5:383  
+1 1:260 2:919 3:90 4:892 5:383  
+1 1:265 2:918 3:89 4:891 5:383  
+1 1:270 2:919 3:88 4:892 5:383  
+1 1:275 2:919 3:89 4:892 5:382  
+1 1:280 2:916 3:90 4:889 5:382  
+1 1:285 2:914 3:88 4:889 5:382  
+1 1:290 2:913 3:92 4:889 5:382  
+1 1:295 2:914 3:90 4:889 5:382  
+1 1:300 2:919 3:90 4:894 5:384  
+1 1:305 2:919 3:92 4:893 5:383  
+1 1:310 2:920 3:91 4:894 5:384  
+1 1:315 2:919 3:94 4:893 5:383  
+1 1:320 2:915 3:93 4:890 5:382  
+1 1:325 2:912 3:95 4:887 5:381  
+1 1:330 2:911 3:93 4:888 5:382  
+1 1:335 2:911 3:93 4:887 5:382  
+1 1:340 2:912 3:96 4:888 5:383  
+1 1:345 2:913 3:94 4:888 5:383  
+1 1:350 2:915 3:95 4:890 5:383  
+1 1:355 2:917 3:91 4:893 5:383  
+1 1:360 2:916 3:94 4:893 5:383  
+1 1:365 2:913 3:94 4:890 5:382  
+1 1:370 2:909 3:89 4:885 5:382  
+1 1:375 2:911 3:92 4:888 5:382  
+1 1:380 2:914 3:92 4:891 5:383  
+1 1:385 2:917 3:95 4:893 5:383  
+1 1:390 2:915 3:94 4:893 5:383  
+1 1:395 2:914 3:94 4:890 5:383  
+1 1:400 2:914 3:92 4:890 5:382  
+1 1:405 2:909 3:91 4:884 5:382  
+1 1:410 2:910 3:94 4:888 5:382  
+1 1:415 2:909 3:97 4:887 5:382  
+1 1:420 2:915 3:102 4:892 5:384  
+1 1:425 2:920 3:95 4:895 5:383  
+1 1:430 2:914 3:97 4:890 5:383  
+1 1:435 2:900 3:95 4:885 5:383  
+1 1:440 2:880 3:93 4:875 5:382  
+1 1:445 2:858 3:94 4:869 5:382  
+1 1:450 2:832 3:92 4:861 5:383  
+1 1:455 2:798 3:95 4:847 5:383  
+1 1:460 2:755 3:93 4:830 5:383  
+1 1:465 2:707 3:93 4:809 5:382  
+1 1:470 2:658 3:95 4:784 5:381  
+1 1:475 2:613 3:98 4:760 5:382  
+1 1:480 2:568 3:105 4:727 5:384  
+1 1:485 2:527 3:94 4:690 5:383  
+1 1:490 2:491 3:95 4:648 5:384  
+1 1:495 2:460 3:100 4:602 5:382  
+1 1:500 2:431 3:98 4:550 5:382  
+1 1:505 2:411 3:99 4:501 5:382  
+1 1:510 2:392 3:97 4:452 5:383  
+1 1:515 2:379 3:96 4:410 5:384  
+1 1:520 2:365 3:97 4:370 5:384  
+1 1:525 2:353 3:96 4:333 5:382  
+1 1:530 2:344 3:95 4:306 5:381  
+1 1:535 2:336 3:92 4:283 5:382  
+1 1:540 2:329 3:96 4:263 5:383  
+1 1:545 2:326 3:96 4:247 5:384  
+1 1:550 2:319 3:96 4:234 5:383  
+1 1:555 2:316 3:94 4:223 5:383  
+1 1:560 2:314 3:95 4:214 5:383  
+1 1:565 2:309 3:94 4:207 5:384  
+1 1:570 2:308 3:95 4:202 5:383  
+1 1:575 2:303 3:93 4:197 5:382  
+1 1:580 2:302 3:96 4:193 5:382  
+1 1:585 2:301 3:95 4:189 5:382  
+1 1:590 2:298 3:96 4:186 5:382  
+1 1:595 2:296 3:96 4:182 5:382  
+1 1:600 2:297 3:96 4:180 5:382  
+1 1:605 2:294 3:98 4:176 5:383  
+1 1:610 2:293 3:93 4:175 5:384  
+1 1:615 2:292 3:95 4:170 5:383  
+1 1:620 2:291 3:92 4:169 5:383  
+1 1:625 2:289 3:100 4:168 5:382  
+1 1:630 2:289 3:96 4:167 5:383  
+1 1:635 2:288 3:99 4:167 5:383  
+1 1:640 2:285 3:90 4:163 5:382  
+1 1:645 2:287 3:90 4:163 5:381  

