+1 14 3:70 4:275 5:382  
+1 1:0 2:367 3:70 4:279 5:383  
+1 1:5 2:368 3:70 4:281 5:383  
+1 1:10 2:369 3:75 4:283 5:383  
+1 1:15 2:372 3:87 4:286 5:382  
+1 1:20 2:374 3:74 4:291 5:381  
+1 1:25 2:376 3:79 4:294 5:383  
+1 1:30 2:379 3:72 4:298 5:383  
+1 1:35 2:383 3:80 4:302 5:382  
+1 1:40 2:383 3:76 4:305 5:383  
+1 1:45 2:386 3:74 4:308 5:381  
+1 1:50 2:386 3:71 4:310 5:382  
+1 1:55 2:389 3:72 4:315 5:382  
+1 1:60 2:392 3:72 4:318 5:383  
+1 1:65 2:408 3:68 4:426 5:383  
+1 1:70 2:670 3:77 4:783 5:382  
+1 1:75 2:794 3:74 4:838 5:381  
+1 1:80 2:859 3:76 4:863 5:383  
+1 1:85 2:891 3:72 4:875 5:383  
+1 1:90 2:910 3:71 4:883 5:383  
+1 1:95 2:916 3:68 4:883 5:383  
+1 1:100 2:924 3:74 4:883 5:382  
+1 1:105 2:923 3:78 4:881 5:382  
+1 1:110 2:926 3:72 4:885 5:382  
+1 1:115 2:927 3:80 4:886 5:383  
+1 1:120 2:928 3:67 4:888 5:384  
+1 1:125 2:931 3:72 4:889 5:383  
+1 1:130 2:930 3:73 4:889 5:382  
+1 1:135 2:928 3:71 4:888 5:383  
+1 1:140 2:929 3:74 4:890 5:383  
+1 1:145 2:926 3:67 4:888 5:381  
+1 1:150 2:922 3:67 4:885 5:382  
+1 1:155 2:923 3:66 4:885 5:382  
+1 1:160 2:923 3:65 4:885 5:382  
+1 1:165 2:926 3:66 4:889 5:383  
+1 1:170 2:926 3:72 4:891 5:383  
+1 1:175 2:927 3:65 4:890 5:383  
+1 1:180 2:924 3:62 4:888 5:383  
+1 1:185 2:928 3:69 4:891 5:383  
+1 1:190 2:923 3:74 4:888 5:384  
+1 1:195 2:924 3:71 4:890 5:382  
+1 1:200 2:921 3:70 4:887 5:382  
