0362 70 439 388  
0 363 72 440 389  
5 363 71 440 389  
10 365 70 440 389  
15 365 72 442 390  
20 367 73 443 388  
25 366 72 441 387  
30 369 74 445 388  
35 370 73 449 390  
40 373 74 450 389  
45 375 74 452 389  
50 375 71 452 389  
55 376 71 453 389  
60 379 71 456 389  
65 380 69 464 389  
70 494 71 686 389  
75 605 73 767 388  
80 688 71 796 388  
85 758 72 812 387  
90 809 75 825 387  
95 842 71 835 387  
100 864 67 845 388  
105 881 71 854 389  
110 886 71 854 389  
115 892 71 859 389  
120 894 69 857 389  
125 889 70 854 387  
130 892 73 857 387  
135 898 70 862 389  
140 898 68 864 389  
145 894 75 861 388  
150 895 70 863 388  
155 894 69 863 389  
160 897 71 864 389  
165 891 70 858 388  
170 888 72 859 387  
175 890 74 861 387  
180 888 71 858 387  
185 889 71 859 387  
190 888 73 861 387  
195 886 68 858 387  
200 889 69 861 387  
205 886 69 859 387  
210 885 70 857 387  
215 887 69 861 387  
220 887 73 859 387  
225 886 70 860 387  
230 889 72 863 388  
235 889 73 863 389  
240 890 72 865 389  
245 892 69 867 389  
250 891 71 866 389  
255 888 72 863 389  
260 888 73 864 388  
265 887 76 862 388  
270 888 73 864 388  
275 883 74 861 388  
280 884 72 862 387  
285 884 73 863 388  
290 886 73 863 387  
295 885 71 863 389  
300 887 73 863 389  
305 884 74 862 389  
310 886 74 863 388  
315 885 72 862 389  
320 887 75 865 388  
325 886 72 863 388  
330 880 72 859 387  
335 879 72 858 387  
340 882 74 860 387  
345 882 73 861 387  
350 884 74 864 388  
355 882 76 862 389  
360 884 72 863 388  
365 882 73 861 389  
370 884 75 864 388  
375 881 76 862 389  
380 876 74 856 387  
385 875 76 855 386  
390 879 75 859 387  
395 882 75 862 388  
400 881 73 861 388  
405 880 75 862 389  
410 883 75 862 389  
415 876 72 857 387  
420 879 74 858 386  
425 895 77 866 388  
430 898 79 866 388  
435 892 77 862 388  
440 882 80 858 388  
445 871 80 854 389  
450 851 79 843 388  
455 826 79 832 387  
460 800 78 820 387  
465 771 79 809 387  
470 736 79 797 387  
475 693 80 777 387  
480 651 79 759 388  
485 602 76 732 388  
490 556 78 703 389  
495 509 78 667 388  
500 467 74 627 388  
505 428 76 586 388  
510 393 76 539 388  
515 362 74 489 388  
520 335 78 438 388  
525 315 77 393 388  
530 294 75 350 389  
535 277 77 311 387  
540 264 80 279 387  
545 253 73 253 387  
550 245 73 233 388  
555 237 71 216 388  
560 230 69 202 388  
565 223 72 188 388  
570 218 70 179 387  
575 214 73 172 387  
580 209 72 166 388  
585 207 71 160 389  
590 201 72 155 387  
595 202 69 153 387  
600 198 70 149 389  
