xm,ym,zm
0,337,216
5,341,220
10,343,224
15,346,228
20,348,233
25,350,236
30,351,239
35,354,243
40,357,247
45,360,251
50,364,256
55,365,260
60,368,264
65,372,272
70,448,535
75,617,741
80,744,816
85,833,852
90,875,867
95,897,876
100,908,876
105,913,879
110,924,885
115,927,887
120,927,886
125,927,888
130,925,885
135,923,885
140,920,884
145,925,889
150,925,890
155,925,890
160,922,888
165,924,889
170,923,890
175,923,889
180,917,885
185,915,885
190,919,888
195,919,887
200,919,888
205,921,891
210,922,892
215,920,891
220,919,890
225,917,887
230,914,884
235,918,889
240,920,890
245,921,892
250,918,889
255,917,889
260,918,891
265,918,890
270,917,889
275,915,889
280,912,884
285,915,886
290,914,888
295,911,884
300,914,887
305,911,884
310,912,885
315,912,886
320,912,887
325,914,888
330,917,891
335,917,891
340,914,889
345,914,888
350,916,890
355,913,887
360,916,888
365,916,890
370,913,888
375,916,889
380,912,888
385,912,888
390,913,889
395,914,889
400,911,886
405,908,884
410,909,884
415,908,884
420,909,883
425,912,887
430,917,888
435,911,886
440,900,880
445,891,880
450,871,869
455,853,863
460,828,853
465,798,839
470,769,828
475,734,812
480,702,797
485,667,780
490,630,756
495,597,734
500,571,712
505,543,687
510,522,661
515,498,634
520,481,606
525,466,581
530,453,559
535,439,533
540,429,511
545,416,486
550,404,459
555,394,435
560,383,410
565,373,388
570,366,367
575,359,348
580,354,329
585,347,312
590,340,295
595,336,282
600,330,269
