xm,ym,zm
0,335,226
5,339,232
10,341,235
15,344,241
20,346,245
25,348,249
30,353,255
35,355,259
40,357,264
45,360,268
50,362,272
55,365,277
60,368,280
65,373,307
70,380,336
75,382,334
80,390,339
85,395,350
90,397,353
95,400,357
100,406,360
105,407,362
110,411,364
115,412,367
120,416,370
125,418,374
130,420,376
135,420,377
140,422,380
145,423,384
150,425,386
155,429,390
160,430,393
165,431,394
170,432,396
175,432,398
180,434,401
185,436,403
190,437,404
195,436,407
200,439,408
205,440,410
210,443,414
215,442,414
220,442,416
225,445,419
230,447,423
235,449,424
240,452,427
245,451,429
250,454,432
255,455,432
260,455,435
265,456,435
270,455,435
275,457,438
280,458,440
285,459,441
290,460,443
295,461,444
300,461,447
305,465,450
310,467,452
315,466,452
320,468,454
325,468,456
330,467,455
335,468,456
340,471,459
345,471,459
350,472,461
355,473,463
360,475,465
365,477,469
370,477,468
375,478,470
380,480,472
385,479,472
390,481,474
395,479,474
400,480,474
405,480,474
410,482,478
415,484,479
420,485,480
425,498,499
430,486,488
435,465,462
440,443,429
445,420,390
450,395,346
455,375,307
460,357,270
465,341,236
470,326,208
475,315,186
480,305,168
485,296,152
490,289,139
495,282,129
500,277,122
505,272,116
510,269,111
515,265,108
520,262,105
525,260,100
530,257,99
535,254,98
540,254,98
545,252,96
550,251,95
555,250,93
560,247,93
565,246,91
570,246,93
575,244,89
580,243,90
585,244,90
590,242,88
595,241,88
600,242,87
