+1 1:200 2:924 3:3 4:890 5:383  
+1 1:205 2:929 3:6 4:896 5:384  
+1 1:210 2:929 3:7 4:896 5:383  
+1 1:215 2:929 3:4 4:896 5:384  
+1 1:220 2:925 3:6 4:894 5:383  
+1 1:225 2:922 3:7 4:891 5:382  
+1 1:230 2:924 3:4 4:894 5:383  
+1 1:235 2:928 3:6 4:896 5:383  
+1 1:240 2:925 3:8 4:894 5:384  
+1 1:245 2:926 3:7 4:896 5:383  
+1 1:250 2:927 3:10 4:896 5:383  
+1 1:255 2:925 3:0 4:894 5:381  
+1 1:260 2:922 3:0 4:892 5:383  
+1 1:265 2:924 3:1 4:895 5:384  
+1 1:270 2:927 3:2 4:897 5:384  
+1 1:275 2:926 3:1 4:897 5:383  
+1 1:280 2:924 3:0 4:895 5:384  
+1 1:285 2:922 3:1 4:893 5:381  
+1 1:290 2:921 3:1 4:894 5:382  
-1 1:200 2:866 3:115 4:812 5:872  
-1 1:205 2:867 3:114 4:814 5:872  
-1 1:210 2:866 3:115 4:814 5:871  
-1 1:215 2:867 3:115 4:813 5:871  
-1 1:220 2:864 3:117 4:811 5:871  
-1 1:225 2:864 3:117 4:811 5:870  
-1 1:230 2:863 3:116 4:811 5:868  
-1 1:235 2:861 3:117 4:809 5:868  
-1 1:240 2:859 3:118 4:807 5:867  
-1 1:245 2:860 3:118 4:810 5:867  
-1 1:250 2:857 3:118 4:806 5:868  
-1 1:255 2:862 3:119 4:811 5:869  
-1 1:260 2:863 3:119 4:813 5:871  
-1 1:265 2:864 3:120 4:814 5:874  
-1 1:270 2:866 3:121 4:815 5:873  
-1 1:275 2:864 3:120 4:814 5:873  
