+1 1:150 2:932 3:896
+1 1:155 2:931 3:893
+1 1:160 2:927 3:890
+1 1:165 2:926 3:891
+1 1:170 2:928 3:892
+1 1:175 2:932 3:896
+1 1:180 2:933 3:897
+1 1:185 2:929 3:894
+1 1:190 2:930 3:894
+1 1:195 2:926 3:891
+1 1:200 2:924 3:890
+1 1:205 2:929 3:896
+1 1:210 2:929 3:896
+1 1:215 2:929 3:896
+1 1:220 2:925 3:894
+1 1:225 2:922 3:891
+1 1:230 2:924 3:894
+1 1:235 2:928 3:896
+1 1:240 2:925 3:894
+1 1:245 2:926 3:896
+1 1:250 2:927 3:896
+1 1:255 2:925 3:894
+1 1:260 2:922 3:892
+1 1:265 2:924 3:895
+1 1:270 2:927 3:897
+1 1:275 2:926 3:897
+1 1:280 2:924 3:895
+1 1:285 2:922 3:893
+1 1:290 2:921 3:894
+1 1:295 2:923 3:896
+1 1:300 2:924 3:895
+1 1:305 2:926 3:898
+1 1:310 2:924 3:896
+1 1:315 2:925 3:897
+1 1:320 2:923 3:896
+1 1:325 2:917 3:890
+1 1:330 2:918 3:891
+1 1:335 2:921 3:894
+1 1:340 2:919 3:894
+1 1:345 2:923 3:897
+1 1:350 2:924 3:898
+1 1:355 2:921 3:895
+1 1:360 2:923 3:897
+1 1:365 2:919 3:894
+1 1:370 2:915 3:890
+1 1:375 2:918 3:893
+1 1:380 2:919 3:895
+1 1:385 2:918 3:894
+1 1:390 2:919 3:893
+1 1:395 2:916 3:893
+1 1:400 2:917 3:893
+1 1:150 2:910 3:880
+1 1:155 2:910 3:879
+1 1:160 2:907 3:878
+1 1:165 2:909 3:881
+1 1:170 2:905 3:878
+1 1:175 2:908 3:879
+1 1:180 2:907 3:880
+1 1:185 2:910 3:883
+1 1:190 2:911 3:883
+1 1:195 2:909 3:884
+1 1:200 2:911 3:884
+1 1:205 2:908 3:883
+1 1:210 2:908 3:882
+1 1:215 2:906 3:882
+1 1:220 2:905 3:880
+1 1:225 2:904 3:880
+1 1:230 2:905 3:881
+1 1:235 2:908 3:886
+1 1:240 2:908 3:885
+1 1:245 2:905 3:882
+1 1:250 2:905 3:883
+1 1:255 2:905 3:882
+1 1:260 2:903 3:881
+1 1:265 2:904 3:880
+1 1:270 2:902 3:883
+1 1:275 2:903 3:882
+1 1:280 2:905 3:882
+1 1:285 2:907 3:885
+1 1:290 2:904 3:882
+1 1:295 2:901 3:879
+1 1:300 2:903 3:881
+1 1:305 2:902 3:882
+1 1:310 2:904 3:882
+1 1:315 2:903 3:882
+1 1:320 2:901 3:880
+1 1:325 2:898 3:878
+1 1:330 2:899 3:879
+1 1:335 2:901 3:882
+1 1:340 2:903 3:883
+1 1:345 2:903 3:886
+1 1:350 2:901 3:882
+1 1:355 2:903 3:884
+1 1:360 2:900 3:880
+1 1:365 2:897 3:878
+1 1:370 2:898 3:879
+1 1:375 2:899 3:882
+1 1:380 2:901 3:881
+1 1:385 2:899 3:880
+1 1:390 2:902 3:884
+1 1:395 2:902 3:883
+1 1:400 2:898 3:881
+1 1:150 2:905 3:878
+1 1:155 2:906 3:880
+1 1:160 2:905 3:879
+1 1:165 2:906 3:879
+1 1:170 2:908 3:882
+1 1:175 2:909 3:884
+1 1:180 2:910 3:883
+1 1:185 2:907 3:882
+1 1:190 2:905 3:880
+1 1:195 2:905 3:881
+1 1:200 2:907 3:883
+1 1:205 2:905 3:882
+1 1:210 2:907 3:885
+1 1:215 2:908 3:884
+1 1:220 2:905 3:881
+1 1:225 2:904 3:881
+1 1:230 2:907 3:884
+1 1:235 2:903 3:881
+1 1:240 2:903 3:883
+1 1:245 2:903 3:882
+1 1:250 2:903 3:881
+1 1:255 2:905 3:884
+1 1:260 2:901 3:881
+1 1:265 2:904 3:884
+1 1:270 2:903 3:882
+1 1:275 2:905 3:883
+1 1:280 2:902 3:882
+1 1:285 2:901 3:880
+1 1:290 2:902 3:883
+1 1:295 2:902 3:881
+1 1:300 2:897 3:879
+1 1:305 2:898 3:878
+1 1:310 2:900 3:881
+1 1:315 2:897 3:878
+1 1:320 2:897 3:878
+1 1:325 2:900 3:881
+1 1:330 2:900 3:881
+1 1:335 2:897 3:879
+1 1:340 2:898 3:879
+1 1:345 2:897 3:879
+1 1:350 2:900 3:880
+1 1:355 2:896 3:878
+1 1:360 2:900 3:881
+1 1:365 2:897 3:879
+1 1:370 2:900 3:882
+1 1:375 2:897 3:878
+1 1:380 2:900 3:882
+1 1:385 2:900 3:883
+1 1:390 2:900 3:883
+1 1:395 2:899 3:882
+1 1:400 2:897 3:881
+1 1:150 2:925 3:892
+1 1:155 2:926 3:891
+1 1:160 2:924 3:891
+1 1:165 2:921 3:890
+1 1:170 2:921 3:888
+1 1:175 2:920 3:888
+1 1:180 2:921 3:889
+1 1:185 2:920 3:891
+1 1:190 2:917 3:888
+1 1:195 2:920 3:889
+1 1:200 2:917 3:887
+1 1:205 2:918 3:888
+1 1:210 2:919 3:889
+1 1:215 2:920 3:891
+1 1:220 2:921 3:892
+1 1:225 2:921 3:893
+1 1:230 2:920 3:891
+1 1:235 2:921 3:893
+1 1:240 2:920 3:891
+1 1:245 2:919 3:890
+1 1:250 2:919 3:893
+1 1:255 2:918 3:891
+1 1:260 2:919 3:892
+1 1:265 2:918 3:891
+1 1:270 2:919 3:892
+1 1:275 2:919 3:892
+1 1:280 2:916 3:889
+1 1:285 2:914 3:889
+1 1:290 2:913 3:889
+1 1:295 2:914 3:889
+1 1:300 2:919 3:894
+1 1:305 2:919 3:893
+1 1:310 2:920 3:894
+1 1:315 2:919 3:893
+1 1:320 2:915 3:890
+1 1:325 2:912 3:887
+1 1:330 2:911 3:888
+1 1:335 2:911 3:887
+1 1:340 2:912 3:888
+1 1:345 2:913 3:888
+1 1:350 2:915 3:890
