xm,ym,zm
150,910,880
155,910,879
160,907,878
165,909,881
170,905,878
175,908,879
180,907,880
185,910,883
190,911,883
195,909,884
200,911,884
205,908,883
210,908,882
215,906,882
220,905,880
225,904,880
230,905,881
235,908,886
240,908,885
245,905,882
250,905,883
255,905,882
260,903,881
265,904,880
270,902,883
275,903,882
280,905,882
285,907,885
290,904,882
295,901,879
300,903,881
305,902,882
310,904,882
315,903,882
320,901,880
325,898,878
330,899,879
335,901,882
340,903,883
345,903,886
350,901,882
355,903,884
360,900,880
365,897,878
370,898,879
375,899,882
380,901,881
385,899,880
390,902,884
395,902,883
400,898,881
