xm,ym,zm
150,772,780
155,776,783
160,777,785
165,775,783
170,775,783
175,774,783
180,771,780
185,772,783
190,776,785
195,774,783
200,777,785
205,772,782
210,771,781
215,774,783
220,773,784
225,773,783
230,776,786
235,769,780
240,773,783
245,772,783
250,773,783
255,774,783
260,772,783
265,769,779
270,770,781
275,772,784
280,775,786
285,775,786
290,772,783
295,773,784
300,770,781
305,768,780
310,772,784
315,773,786
320,774,786
325,773,785
330,773,782
335,771,782
340,768,780
345,767,778
350,768,780
355,772,783
360,772,783
365,772,784
370,770,782
375,770,782
380,773,785
385,768,778
390,769,781
395,769,780
400,769,782
